Step,FedRecover,Retrain,FedEraser,Crab
0,2.300097079,2.304800991,2.238106018,
1,2.630278416,2.291204711,2.127033319,
2,1.934275915,2.261801065,1.999134204,2.217355554
3,1.915828123,2.186679222,1.926501474,2.124248993
4,1.910504194,2.090901916,1.880577261,
5,6.654934844,2.017811106,1.840662674,
6,1.9713788,1.959629463,1.801846653,
7,1.920153172,1.909348816,1.760204413,1.873294272
8,1.916722904,1.86596098,1.719534885,1.846689611
9,1.913805009,1.825508673,1.681948302,1.809552979
10,1.913126597,1.784474126,1.644308141,
11,1.909465865,1.744547302,1.608771544,
12,1.909243661,1.703162156,1.584547262,
13,1.908737733,1.664093914,1.552408249,1.650332709
14,1.908315839,1.628131458,1.527605968,1.615176458
15,1.907381695,1.594500251,1.504593376,
16,1.906559916,1.564311709,1.486629766,1.556365287
17,1.905848443,1.538182114,1.463508498,1.53733101
18,1.904696467,1.514566201,1.447015632,1.526863606
19,1.903627068,1.494502852,1.425839884,1.503398481
20,1.902397121,1.472213028,1.41507113,
21,1.901122424,1.456399854,1.398284684,
22,1.900888982,1.437751234,1.383582987,
23,1.900459251,1.423966116,1.372395386,
24,1.898038614,1.40697004,1.359107361,1.40722506
25,1.898084683,1.396525237,1.348910802,1.396982527
26,1.898148815,1.381622651,1.33720854,
27,1.896367681,1.366768572,1.317973466,1.379202156
28,1.8961418,1.355152587,1.30863452,1.355229244
29,1.895488834,1.342771353,1.295750204,
30,1.89431024,1.332136194,1.280928829,
31,1.893977125,1.318100206,1.270105213,
32,1.893437055,1.307067825,1.254886478,
33,1.893618941,1.297024698,1.245591882,1.292872737
34,1.8923418,1.285687899,1.228600125,
35,1.891799952,1.273010226,1.222780387,1.277292503
36,1.889867251,1.262856691,1.20639489,
37,1.889183493,1.254367733,1.20355881,
38,1.889631561,1.238910618,1.18585125,1.1897352233
39,1.888567496,1.226415587,,
40,1.888931318,1.214253758,,
